date,CALL,freq
"October 4, 2014",AA3O,7
"October 4, 2014",AA3VX,7.265
"October 4, 2014",AA8CS,7.265
"October 4, 2014",AB3TY,7.265
"October 4, 2014",AC2GI,7.265
"October 4, 2014",AC2KP,7.265
"October 4, 2014",F8ARS,14
"October 4, 2014",K1WMN,7.265
"October 4, 2014",K2NPN,7.266
"October 4, 2014",K2TD,7
"October 4, 2014",K2XU,7.265
"October 4, 2014",K3GEV,14.25
"October 4, 2014",K3QNT,14
"October 4, 2014",K3SCM,14
"October 4, 2014",K3VED,7.265
"October 4, 2014",K4DCN,7.265
"October 4, 2014",K4EZS,14.25
"October 4, 2014",K4KKT,7.265
"October 4, 2014",K5RDX,14.25
"October 4, 2014",K8ARP,7.266
"October 4, 2014",K8FZY,7
"October 4, 2014",K8NYG,7
"October 4, 2014",KA2STI,7.265
"October 4, 2014",KA3OCS,7.265
"October 4, 2014",KA3PNL,7
"October 4, 2014",KA3UDR,7
"October 4, 2014",KA4AOE,14.25
"October 4, 2014",KA8ZOO,7
"October 4, 2014",KB1LLR,14.25
"October 4, 2014",KB2AMA,7.233
"October 4, 2014",KB3ITJ,7.265
"October 4, 2014",KB3LSH,7
"October 4, 2014",KB3NFM,7.265
"October 4, 2014",KB3WXW,7
"October 4, 2014",KB3ZNL,7.265
"October 4, 2014",KB9BPK,14.25
"October 4, 2014",KC1AXJ,7.265
"October 4, 2014",KC2LXD,7.265
"October 4, 2014",KC3ASN,7.265
"October 4, 2014",KC3BTB,7
"October 4, 2014",KC3BTH,7
"October 4, 2014",KC3CMF,7
"October 4, 2014",KC3CMI,7
"October 4, 2014",KC9DDU,14.25
"October 4, 2014",KC9IL/M,14.25
"October 4, 2014",KC9UTM,14.25
"October 4, 2014",KD1O,14.25
"October 4, 2014",KD2GXN,7.265
"October 4, 2014",KD8DMP,7.265
"October 4, 2014",KD8TFZ,7.265
"October 4, 2014",KG8DX,7.265
"October 4, 2014",KJ6GHN,7.265
"October 4, 2014",KK4MG,7.233
"October 4, 2014",KK4RR,7.265
"October 4, 2014",KK4RUI,7.265
"October 4, 2014",KK4ZUX,7.265
"October 4, 2014",KM4DZG,7.265
"October 4, 2014",KN2CZZ,7.265
"October 4, 2014",KN4AQ,7.265
"October 4, 2014",KO4GS,7.265
"October 4, 2014",N0FTZ,14.25
"October 4, 2014",N1QQZ,7.266
"October 4, 2014",N2BOW,7.265
"October 4, 2014",N2HYG,7.265
"October 4, 2014",N2IEL,7.265
"October 4, 2014",N2MUB,7.233
"October 4, 2014",N3HPL,7.265
"October 4, 2014",N3LZV,7.266
"October 4, 2014",N3NH,7
"October 4, 2014",N4IAG,7.265
"October 4, 2014",N4KER,7.266
"October 4, 2014",N4TEW,14.25
"October 4, 2014",N8ESS,7.266
"October 4, 2014",N8NTX,7.265
"October 4, 2014",N9NBC,14.25
"October 4, 2014",NA3H,7.265
"October 4, 2014",NG2T,7
"October 4, 2014",NK2BB,7.265
"October 4, 2014",NR8M,7
"October 4, 2014",NV2L,7.266
"October 4, 2014",VE2YRS,14
"October 4, 2014",VE3BQ,7.265
"October 4, 2014",VE3JMY,7.265
"October 4, 2014",W0MPM,7.265
"October 4, 2014",W2GJS,7.265
"October 4, 2014",W2UIS,7.265
"October 4, 2014",W3CEI,7.265
"October 4, 2014",W3JIM,7
"October 4, 2014",W3WWE,7.233
"October 4, 2014",W4/PA3BHF,14
"October 4, 2014",W4CAS,7.265
"October 4, 2014",W4GMF,7.265
"October 4, 2014",W4MBA,7.265
"October 4, 2014",W4YBU,14.25
"October 4, 2014",W8JNK,7.265
"October 4, 2014",W9LEO,14.25
"October 4, 2014",W9ZN,14
"October 4, 2014",WA1HFF,7
"October 4, 2014",WA1TUT,7.265
"October 4, 2014",WA2JLW,7.265
"October 4, 2014",WA3GIN,7.265
"October 4, 2014",WA4MMS,7.265
"October 4, 2014",WA4UKZ,7.266
"October 4, 2014",WA4UKZ,7.26
"October 4, 2014",WB2JDB,7.265
"October 4, 2014",WB2NVS,7
"October 4, 2014",WB2USA,7.265
"October 4, 2014",WB3BVZ,7.265
"October 4, 2014",WB3JEK,7.265
"October 4, 2014",WB3KVR,7
"October 4, 2014",WB3ZUP,7
"October 4, 2014",WB4YZ,7.265
"October 4, 2014",WB8CTC,7.265
"October 4, 2014",WD8MKQ,7.265
"October 4, 2014",WO7,14.25
"October 4, 2014",WW2DEM,7.266
"October 4, 2014",WW2NJ,7
"October 5, 2014",AA1LH,7.267
"October 5, 2014",AB1WG,7.267
"October 5, 2014",AD3O,7.245
"October 5, 2014",AG2J,7
"October 5, 2014",GB2NZ,7
"October 5, 2014",K3PX,7
"October 5, 2014",K3SI,7.245
"October 5, 2014",K8QBS,7
"October 5, 2014",KB1IRB,7.2
"October 5, 2014",KB3WFV,7.267
"October 5, 2014",KB8CR,7
"October 5, 2014",KC2WVX,7.267
"October 5, 2014",KC3DGE,7.2
"October 5, 2014",KC4DHY,7.2
"October 5, 2014",KC4RGE,7.267
"October 5, 2014",KC4ZBD,7.245
"October 5, 2014",KD4LIR,7.27
"October 5, 2014",KJ4UL,7.267
"October 5, 2014",KK4EXP,7.233
"October 5, 2014",KK4PLD,7.267
"October 5, 2014",KU4FX,7.267
"October 5, 2014",KZ2ZZ,7.27
"October 5, 2014",N1FD,7.2
"October 5, 2014",N2GXJ,7.267
"October 5, 2014",N6VYT,14.25
"October 5, 2014",VE3HEQ,7
"October 5, 2014",W1AW/6,7
"October 5, 2014",W1DWA,7
"October 5, 2014",W3ANJ,7.245
"October 5, 2014",W3AWF,7
"October 5, 2014",W3BZN,7.27
"October 5, 2014",W3IW,7
"October 5, 2014",W3LRS,7.245
"October 5, 2014",W6SR,7
"October 5, 2014",W8AAZ,7.267
"October 5, 2014",WA2CEO,7
"October 5, 2014",WA2DIY,7.273
"October 5, 2014",WA2KKF,7.27
"October 5, 2014",WA3RSL,7.2
"October 5, 2014",WA3YRE,7.273
"October 5, 2014",WB2QOK,7.269
"October 5, 2014",WC2A,7.267
"October 5, 2014",WM4G,7.245
"October 5, 2014",WO3T,7
"October 11, 2014",AA1VX,7.26
"October 11, 2014",AA3TH,7.155
"October 11, 2014",AA3YE,7.26
"October 11, 2014",AB0TG,14.25
"October 11, 2014",AC2KP,7.155
"October 11, 2014",AC8JT,7.15
"October 11, 2014",AD2CM,7.155
"October 11, 2014",AF4NC,7.155
"October 11, 2014",DA3LX,7.155
"October 11, 2014",K2BNL,7.26
"October 11, 2014",K2HVE,7.155
"October 11, 2014",K2PJW,7.26
"October 11, 2014",K2ULF,7.155
"October 11, 2014",K3CCR,7.26
"October 11, 2014",K3GY,7.151
"October 11, 2014",K3TG,7.15
"October 11, 2014",K3TL,7.155
"October 11, 2014",K3UGI,7.151
"October 11, 2014",K3URT,7.155
"October 11, 2014",K3VL,7.155
"October 11, 2014",K3VLS,7.155
"October 11, 2014",K3VYY,7.155
"October 11, 2014",K4CMS,7.155
"October 11, 2014",K4YFR,7.26
"October 11, 2014",K5AHG,14.25
"October 11, 2014",K9HKS,14.25
"October 11, 2014",K9RS,7.26
"October 11, 2014",K9TBD,7.151
"October 11, 2014",K9TBD,7.155
"October 11, 2014",KA3BMU,7.155
"October 11, 2014",KA3EHL,7.155
"October 11, 2014",KA3WZY,7.26
"October 11, 2014",KA5VZG,7.155
"October 11, 2014",KB1JXU,7.26
"October 11, 2014",KB1VIP,7.26
"October 11, 2014",KB2RC,7.15
"October 11, 2014",KB2WXV,7.26
"October 11, 2014",KB3AGZ,7.26
"October 11, 2014",KB3KUJ,7.155
"October 11, 2014",KB3OZA,7.26
"October 11, 2014",KB3PC,7.155
"October 11, 2014",KB3SGY,7.151
"October 11, 2014",KB3SYY,7.155
"October 11, 2014",KC1AXJ,7.155
"October 11, 2014",KC2DIA,7.155
"October 11, 2014",KC2PQI,7.26
"October 11, 2014",KC3DGE,7.15
"October 11, 2014",KC3M,7.26
"October 11, 2014",KC3XD,7.155
"October 11, 2014",KC9RRN,7.15
"October 11, 2014",KD0VMM,14.25
"October 11, 2014",KD3YE,7.26
"October 11, 2014",KD4LMU,7.26
"October 11, 2014",KD8MQ,7.155
"October 11, 2014",KE2UN,7.26
"October 11, 2014",KE3LA,7.155
"October 11, 2014",KE4ZDJ,7.26
"October 11, 2014",KF3M,7.26
"October 11, 2014",KG4NXT,7.155
"October 11, 2014",KI4BXU,7.26
"October 11, 2014",KI4PS,7.26
"October 11, 2014",KI4TXP,7.155
"October 11, 2014",KJ8O,7.155
"October 11, 2014",KK4TCE,7.155
"October 11, 2014",KL6EAB,14.25
"October 11, 2014",KO3T,7.26
"October 11, 2014",KO4GS,7.26
"October 11, 2014",KR3DX,7.155
"October 11, 2014",KS3Z,7.26
"October 11, 2014",KU3S,7.155
"October 11, 2014",KV4MO,7.155
"October 11, 2014",KW3B,7.155
"October 11, 2014",KW3U,7.155
"October 11, 2014",N1ABY,7.155
"October 11, 2014",N1IBM,7.155
"October 11, 2014",N2BNP,7.155
"October 11, 2014",N2IEL,7.26
"October 11, 2014",N3AZZ,7.15
"October 11, 2014",N3AZZ,7.155
"October 11, 2014",N3BAT,7.26
"October 11, 2014",N3BLS,7.15
"October 11, 2014",N3CBD,7.15
"October 11, 2014",N3CR,7.151
"October 11, 2014",N3DMU,7.155
"October 11, 2014",N3FJP,7.155
"October 11, 2014",N3FTO,7.155
"October 11, 2014",N3GBJ,7.155
"October 11, 2014",N3GTH,7.151
"October 11, 2014",N3HIS,7.26
"October 11, 2014",N3HPL,7.15
"October 11, 2014",N3KER,7.155
"October 11, 2014",N3MAV,7.26
"October 11, 2014",N3MSE,7.155
"October 11, 2014",N3NTJ,7.155
"October 11, 2014",N3OJL,7.15
"October 11, 2014",N3QC,7.155
"October 11, 2014",N3RM,7.26
"October 11, 2014",N3SBF,7.155
"October 11, 2014",N3VE,7.155
"October 11, 2014",N3VZ,7.15
"October 11, 2014",N4PN,7.151
"October 11, 2014",N4WWS,7.155
"October 11, 2014",N7CAR,14.25
"October 11, 2014",N8IAN,7.15
"October 11, 2014",N8II,7.15
"October 11, 2014",N8OZY,7.26
"October 11, 2014",N9NBC,14.25
"October 11, 2014",NG3X,7.155
"October 11, 2014",NI3Y,7.155
"October 11, 2014",NM3N,7.155
"October 11, 2014",NS3HS,7.15
"October 11, 2014",NS3L,7.26
"October 11, 2014",NT2A,7.26
"October 11, 2014",W0BR,7.155
"October 11, 2014",W1AW/4,7.208
"October 11, 2014",W1JN,7.155
"October 11, 2014",W2OR,14.25
"October 11, 2014",W3AD,7.155
